CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,IS_CASH,NOTAS
Imss CC P2,7252.04,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv CC P2,11171.51,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit CC P2,6007.43,P002,PRODUCCION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Casetas viales P1,5922.42,P001,VENTAS,2,Casetas Viales,DIRECTO,false,
Uniformes de Trabajo P1,4342.2,P001,PRODUCCION,9,Uniformes de Trabajo,DIRECTO,false,
Verificaciones Vehiculares P1,323.28,P001,ADMINISTRACION,8,Verificaciones Vehiculares,DIRECTO,false,
Renta de CR P1,285678,P001,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,false,
Arrendamiento Leasing P1,320148.53,P001,ADMINISTRACION,4,Renta de Vehículos (Leasing),DIRECTO,false,
Renta de Maquinaria P2,772598.16,P002,PRODUCCION,4,Renta de Maquinaria y Equipo,DIRECTO,false,
Uniformes de Trabajo P2,769.81,P002,PRODUCCION,9,Uniformes de Trabajo,DIRECTO,false,
Servicio de bombeo P2,116865,P002,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,false,
Renta de Terreno P2,65000,P002,PRODUCCION,4,Renta de Terrenos,DIRECTO,false,
Casetas viales P4,4732.77,P004P,VENTAS,2,Casetas Viales,DIRECTO,false,
Arrendamiento Leasing P5,24974.86,P005,ADMINISTRACION,4,Renta de Vehículos (Leasing),DIRECTO,false,
Casetas viales P6,288,gen,VENTAS,2,Casetas Viales,DISTRIBUIR_VOLUMEN,false,
Imss Admon P1,22378.12,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv Admon P1,47474.66,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Admon P1,25442.37,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/nom Admon P1,15767,P001,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Dominio Correo P1,5460,P001,ADMINISTRACION,7,Dominios y Hosting,DIRECTO,false,
Atencion al Personal P1,19142.27,P001,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,false,
Licencias de Sistemas P1,56344.9,P001,ADMINISTRACION,7,Licencias de Software,DIRECTO,false,
Soporte de Sistemas P1,40000,P001,ADMINISTRACION,5,Soporte de Sistemas,DIRECTO,false,
Papeleria P1,8084.21,P001,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,false,
Viaticos P1,5071.58,P001,ADMINISTRACION,9,Viáticos,DIRECTO,false,
Telefonia e Internet P1,14094.84,P001,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,false,
Honorarios P1,29387.74,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,false,
Tramites Legales P1,23403.44,P001,ADMINISTRACION,5,Servicios Legales y Trámites,DIRECTO,false,
Paqueteria y Envios P1,1828.68,P001,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,false,
Agua de Garrafon P1,1092,P001,PRODUCCION,6,Agua de Garrafón,DIRECTO,false,
Impuestos y Derechos P1,19546,P001,ADMINISTRACION,13,Derechos,DIRECTO,false,
Articulos de Limpieza P1,1313.05,P001,ADMINISTRACION,6,Artículos de Limpieza,DIRECTO,false,
Gastos No deducibles P1,371744.16,P001,ADMINISTRACION,12,Seguros,DIRECTO,false,
Recargos P1,109.05,P001,GENERAL,11,Recargos,DIRECTO,false,
Combustibles y Gasolina P1,27900.22,P001,ADMINISTRACION,2,Combustible y Gasolina,DIRECTO,false,
Seguros y Fianzas P1,1300,P001,ADMINISTRACION,12,Seguros,DIRECTO,false,
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION,4,Renta de Maquinaria y Equipo,DIRECTO,false,
Imss Admon P2,21660.13,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv Admon P2,51201.94,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Admon P2,26911.56,P002,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Atencion al Personal P2,23968.64,P002,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,false,
Licencias de Sistemas P2,50197.8,P002,ADMINISTRACION,7,Licencias de Software,DIRECTO,false,
Papeleria P2,300.93,P002,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,false,
Viaticos P2,49435.29,P002,ADMINISTRACION,9,Viáticos,DIRECTO,false,
Arrendamientos P2,43763.59,P002,ADMINISTRACION,4,Renta de Inmuebles,DIRECTO,false,
Telefonia e Internet P2,6606.13,P002,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,false,
Paqueteria y Envios P2,6856.3,P002,ADMINISTRACION,14,Paquetería y Envíos,DIRECTO,false,
Agua de Garrafon P2,429,P002,PRODUCCION,6,Agua de Garrafón,DIRECTO,false,
Gastos no Deducibles P2,9049.46,P002,ADMINISTRACION,12,Seguros,DIRECTO,false,
Combustible y Gasolina P2,107846.47,P002,ADMINISTRACION,2,Combustible y Gasolina,DIRECTO,false,
3% S/Nom Admon P4,1557,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Imss Admon P4,5176.99,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv Admon P4,5498.47,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Admon P4,3329.81,P004P,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Licencias de Sistemas P4,24384.9,P004P,ADMINISTRACION,7,Licencias de Software,DIRECTO,false,
Papeleria P4,1923.75,P004P,ADMINISTRACION,6,Papelería y Artículos de Oficina,DIRECTO,false,
Viaticos P4,2765.09,P004P,ADMINISTRACION,9,Viáticos,DIRECTO,false,
Telefonia e Internet P4,2510.34,P004P,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,false,
Renta de Baños P4,5600,P004P,PRODUCCION,4,Renta de Baños y Otros,DIRECTO,false,
Rcv Admon P5,11588.75,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Admon P5,6360.54,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% S/nom Admon P5,963,P005,ADMINISTRACION,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Atencion al Personal P5,45498.33,P005,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,false,
Viaticos P5,4642.94,P005,ADMINISTRACION,9,Viáticos,DIRECTO,false,
Arrendamientos P5,7500,P005,ADMINISTRACION,4,Renta de Inmuebles,DIRECTO,false,
Telefonia e Internet P5,5956.89,P005,ADMINISTRACION,3,Telefonía e Internet,DIRECTO,false,
