CONCEPTO,MONTO,PLANTA,DEPARTAMENTO
REP CJA MARIO PEREZ P004P,3753.85,P004P,ADMINISTRACION
REP CJA MARIO PEREZ P5,6123,P005,ADMINISTRACION
"VIATICOS BAJADA DE CR 6, CR 16 Y L200 TJ A P5 ",38100,P005,ADMINISTRACION
PIEZA DE PIPA P1,1604.28,P001,MANTENIMIENTO
GRUA PARA GENERADOR P1,8500,P001,MANTENIMIENTO
HOSPEDAJE DE 2 HABITACIONES SLP P5,1850,P005,ADMINISTRACION
CENA DEL DIA 18 MAR 26 P1,650,P001,ADMINISTRACION
50 VIAJES DE AGUA POZO NAPOLES A 160 P1,8000,P001,PRODUCCION
VIATICOS A VILLA DE REYES SERGIO RMZ P004P,300,P005,ADMINISTRACION
PAGO DE BOMBEO A ADRIAN IRAPUATO P1,10400,P001,PRODUCCION
MANTO CR 1 P1,3500,P001,MANTENIMIENTO
RENTA DE DEPTO SLP VILLA DE REYES,7500,P005,ADMINISTRACION
RENTA CAMPAMENTO VILLA DE REYES P004P,5000,P005,ADMINISTRACION
RENTA DE TERRENO PLANTA 5 VILLA DE REYES ,30000,P005,PRODUCCION
TRABAJOS DE ALBAÑILERIA EN LABORATORIO P5 VILLA DE REYES,5500,P005,PRODUCCION
PAGO ADITIVO DE TIJUANA PRUEBA ALEX DIAZ P3,3600,P002,PRODUCCION
AGUA DE P004P LA PITAHAYA 12 VIAJES 350,4200,P004P,PRODUCCION
VIATICOS ING ABELARDO MANTO SLP P004P,700,P004P,ADMINISTRACION
REP DE CJA P004P Y P5,9430.56,P005,ADMINISTRACION
BOMBEO LANCRETO 2106 P1,4530,P001,PRODUCCION
ANT HONORARIOS LIC GUILEBALDO (CASO LANTANA),40000,P001,ADMINISTRACION
RENTA TERRENO LAVADO DE OLLAS ABRIL P1,5000,P001,POR DEFINIR
COMIDA AUTIZADA ENTRADA 4 AM P1,1500,P001,ADMINISTRACION
DEPTO ALEX,20500,GEN,ADMINISTRACION
CAMPAMENTO P5,22000,P005,ADMINISTRACION
PAGO DE ELECTRICIDAD DE PLANTA 2 TJ,2358,P002,PRODUCCION
REP DE CJA DE P004P,2716,P004P,ADMINISTRACION
REP DE CJA DE P5,7935.72,P005,ADMINISTRACION
